                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2594,                 1.7432,                 1.0993,                0.68315,                0.18773,                0.16226,                0.05954,                 2.2591,                 2.3609,                 1.7749,             0.00036793,             0.00036793,             0.00036793
                      2,                 1.2368,                 1.1343,                 1.1187,                0.68947,                0.21869,                0.28936,                0.11899,                 2.1687,                 2.3429,                 1.6103,             0.00073095,             0.00073095,             0.00073095
                      3,                 1.2428,                 1.0861,                 1.1251,                0.55081,                0.32995,                0.28466,                0.10016,                 2.2174,                  1.888,                  1.582,              0.0010866,              0.0010866,              0.0010866
                      4,                 1.2251,                0.98307,                 1.1257,                0.49588,                 0.4431,                0.42184,                0.16488,                 2.0914,                 1.7895,                 1.5529,               0.001078,               0.001078,               0.001078
                      5,                 1.2018,                0.91523,                 1.1157,                0.50391,                0.49347,                0.44691,                0.18739,                 2.0035,                 1.5415,                 1.4506,               0.001078,               0.001078,               0.001078
                      6,                  1.195,                0.88105,                 1.1079,                0.44311,                0.43535,                0.36247,                0.13554,                 2.1473,                 2.3754,                 1.6428,               0.001067,               0.001067,               0.001067
                      7,                 1.1707,                0.82847,                 1.1015,                0.50227,                 0.4432,                0.40484,                0.15382,                 2.0704,                 1.6799,                 1.5498,               0.001056,               0.001056,               0.001056
                      8,                  1.163,                 0.8071,                 1.0944,                0.52604,                0.49639,                0.45055,                0.19425,                 1.9741,                 1.5346,                 1.4632,               0.001045,               0.001045,               0.001045
                      9,                 1.1513,                0.77338,                 1.0859,                 0.3959,                 0.5574,                0.45531,                0.18989,                 1.9845,                 1.4552,                 1.5001,               0.001034,               0.001034,               0.001034
                     10,                 1.1553,                0.78909,                 1.0938,                0.52235,                0.54469,                0.51281,                0.20811,                 1.9713,                 1.4294,                 1.4692,               0.001023,               0.001023,               0.001023
                     11,                 1.1263,                0.75266,                 1.0757,                0.58478,                0.60339,                0.57844,                0.25924,                 1.9145,                 1.3817,                 1.4716,               0.001012,               0.001012,               0.001012
                     12,                 1.1248,                0.75055,                   1.08,                0.42111,                0.55401,                0.47767,                0.19625,                 2.0022,                 1.5109,                  1.513,               0.001001,               0.001001,               0.001001
                     13,                 1.1148,                0.73787,                 1.0778,                0.63797,                0.55553,                 0.6145,                0.26144,                 1.9571,                   1.43,                 1.5053,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.1144,                0.72808,                 1.0752,                0.49781,                 0.5979,                0.52359,                0.20889,                 1.9664,                  1.416,                 1.4461,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.1002,                0.71712,                 1.0729,                0.57492,                0.54019,                 0.5423,                0.25948,                 1.9263,                 1.4183,                 1.4531,             0.00096801,             0.00096801,             0.00096801
