                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0427,                0.64245,                 1.0303,                 0.6641,                 0.5719,                0.59834,                0.24442,                 1.9192,                 1.2563,                 1.4513,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.0365,                0.63158,                 1.0285,                0.57095,                0.65998,                0.61693,                0.26325,                 1.9165,                 1.2418,                 1.4317,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.0475,                0.64483,                 1.0301,                0.66097,                0.54959,                0.63684,                0.26265,                  1.973,                 1.2369,                  1.485,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.0327,                0.62811,                 1.0287,                0.63413,                0.49762,                0.57735,                0.22748,                 1.9168,                 1.3783,                 1.3841,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.0425,                0.63265,                 1.0279,                0.66057,                0.60998,                 0.6687,                 0.2683,                 1.9585,                 1.2198,                  1.485,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.0298,                0.61665,                 1.0195,                0.63377,                0.61587,                0.64419,                0.26079,                 1.8532,                 1.2288,                 1.3717,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.0302,                0.61784,                 1.0196,                0.50907,                0.68096,                0.58561,                0.23565,                 1.8855,                 1.2569,                 1.4042,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.0269,                0.61189,                 1.0209,                0.70225,                0.61652,                0.64499,                0.27221,                 1.9002,                 1.2349,                 1.3974,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.0286,                0.61886,                 1.0248,                0.66145,                0.61885,                0.63907,                0.26603,                 1.9277,                 1.1873,                 1.4497,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.0297,                0.61132,                 1.0207,                0.58667,                0.71238,                0.64872,                0.27341,                 1.8826,                 1.2268,                 1.4028,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.0138,                0.60546,                 1.0133,                0.61076,                0.67728,                0.64385,                0.26499,                 1.9236,                 1.3189,                 1.4417,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.0194,                0.61085,                 1.0166,                0.56542,                0.66827,                0.64465,                0.28524,                 1.8664,                 1.1858,                  1.399,             0.00062705,             0.00062705,             0.00062705
